Protocol,Architecture,Contention,BlockSize,Throughput
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,0.00
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,0.00
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,0.00
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,0.00
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,0.00
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,0.00
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,0.00
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,0.00
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,0.00
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,0.00
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,0.00
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,0.00
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,0.00
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,0.00
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,0.00
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,0.00
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,0.00
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,0.00
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,0.00
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,0.00
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,0.00
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,0.00
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,0.00
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,0.00
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,0.00
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,0.00
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,0.00
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,0.00
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,0.00
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,0.00
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,0.00
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,0.00
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,0.00
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,0.00
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,0.00
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,0.00
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,0.00
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,0.00
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,0.00
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,0.00
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
prime,OX,100,100,33.33
